"Ссылка","Товар","Цена","Количество","Сумма"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f88","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","53","1 325"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f88","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","12","3 960"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f89","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","11","2 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f89","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","10","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f89","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8a","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","2","500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8a","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","30","750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8a","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8b","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","16","4 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8b","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","15","375"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8b","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8c","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","4","1 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8c","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","63","1 575"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8c","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","17","5 610"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8d","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","13","3 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8d","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","5","125"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8d","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","1","330"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8e","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","9","2 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8e","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","63","1 575"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8e","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","16","5 280"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8f","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","18","4 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8f","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","10","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f8f","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","5","1 650"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f90","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","2","500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f90","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","3","75"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f90","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f91","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","15","3 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f91","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","7","175"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f91","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","1","330"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f92","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f92","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","13","325"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f92","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f93","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","11","2 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f93","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","17","425"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f93","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f94","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","7","1 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f94","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","18","450"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f94","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","10","3 300"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f95","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","7","1 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f95","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","4","100"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f95","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f96","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","9","2 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f96","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","48","1 200"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f96","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","12","3 960"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f97","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f97","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","4","100"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f97","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f98","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f98","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","47","1 175"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f98","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","14","4 620"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f99","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","9","2 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f99","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","15","375"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f99","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9a","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","8","2 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9a","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","16","400"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9a","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","6","1 980"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9b","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","6","1 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9b","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","2","50"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9b","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9c","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9c","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","26","650"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9c","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","9","2 970"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9d","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","19","4 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9d","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","1","25"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9d","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","1","330"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9e","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","2","500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9e","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","2","50"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9e","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","6","1 980"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9f","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","6","1 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9f","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","4","100"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f9f","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa0","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","3","750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa0","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","53","1 325"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa0","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","12","3 960"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa1","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","9","2 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa1","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","12","300"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa1","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","5","1 650"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa2","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","1","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa2","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","30","750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa2","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","9","2 970"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa3","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","14","3 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa3","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","10","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa3","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa4","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","6","1 500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa4","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","31","775"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa4","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa5","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","8","2 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa5","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","8","200"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa5","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa6","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa6","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","10","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa6","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","3","990"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa7","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","12","3 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa7","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","17","425"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa7","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","5","1 650"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432fa8","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","1","250"
